sex,row_number,liters_drunk,age,drink,check_number,label
0,57.0,1,55,Cola,4123,1
1,65.0,4,41,Cola,9661,1
1,31.0,2,17,Water,179,0
0,82.0,5,56,Beerbeer,9587,0
0,33.0,2,66,Water,3230,1
1,77.0,2,34,Strong beer,3669,0
1,54.0,2,44,Strong beer,307,1
1,36.0,0,49,Fanta,4667,0
1,37.0,2,17,Water,7564,0
1,61.0,1,65,Bugbeer,3662,1
1,92.0,2,13,Cola,7881,0
0,31.0,2,50,Beerbeer,8878,1
0,87.0,3,77,Fanta,7764,1
1,3.0,2,76,Water,2606,1
1,39.0,1,10,Water,1008,1
1,45.0,2,75,Beerbeer,4943,0
1,100.0,5,75,Strong beer,391,0
0,79.0,2,26,Bugbeer,1831,0
1,10.0,3,31,Water,6264,1
1,92.0,2,67,Strong beer,4179,1
0,91.0,2,79,Fanta,222,0
0,21.0,1,30,Fanta,6394,0
1,92.0,4,54,Beerbeer,9010,1
1,58.0,0,36,Water,617,0
0,24.0,1,28,Strong beer,8318,1
1,48.0,5,11,Water,7898,1
1,26.0,5,49,Water,6100,0
1,99.0,0,42,Fanta,8384,0
0,37.0,1,13,Cola,4381,1
0,86.0,0,67,Beerbeer,7460,0
1,92.0,0,59,Water,6215,0
1,77.0,4,79,Water,9765,1
1,97.0,4,20,Fanta,9223,0
1,84.0,2,49,Strong beer,8745,0
0,74.0,2,38,Beerbeer,6414,1
1,86.0,5,53,Beerbeer,8037,1
1,24.0,5,35,Beerbeer,404,1
0,62.0,1,71,Strong beer,9080,1
1,71.0,5,10,Water,5379,1
0,92.0,3,25,Beerbeer,5702,1
0,55.0,1,54,Strong beer,3172,0
1,88.0,4,46,Bugbeer,7833,1
1,83.0,5,37,Cola,9021,1
0,73.0,4,52,Beerbeer,7214,0
0,39.0,2,74,Fanta,8914,0
0,99.0,5,60,Beerbeer,507,1
1,40.0,3,62,Fanta,716,0
1,54.0,3,68,Beerbeer,1561,1
0,31.0,4,33,Fanta,7817,1
1,90.0,2,47,Bugbeer,8950,0
1,33.0,2,38,Fanta,4218,1
0,15.0,1,30,Beerbeer,2824,1
1,46.0,2,23,Fanta,717,1
0,65.0,0,30,Water,2271,1
1,21.0,4,34,Fanta,7389,1
1,51.0,2,40,Cola,5284,1
1,65.0,5,75,Bugbeer,9845,1
1,11.0,3,48,Beerbeer,2350,1
1,53.0,1,13,Fanta,2256,1
0,7.0,5,10,Water,5296,1
1,9.0,2,61,Beerbeer,6743,1
1,32.0,2,34,Fanta,3980,1
0,97.0,0,48,Cola,7433,0
1,41.0,2,45,Cola,2074,1
1,61.0,3,80,Fanta,834,1
0,80.0,5,80,Cola,7844,0
0,49.0,2,70,Water,927,1
1,92.0,0,62,Bugbeer,3244,0
0,59.0,5,76,Beerbeer,4051,1
0,48.0,1,42,Bugbeer,9530,1
0,63.0,3,21,Fanta,428,0
1,88.0,5,44,Fanta,139,0
1,86.0,4,41,Beerbeer,9912,1
0,67.0,2,41,Beerbeer,2195,1
1,36.0,2,73,Cola,9722,0
1,98.0,2,71,Beerbeer,2428,0
1,1.0,1,74,Strong beer,9116,0
0,36.0,4,18,Fanta,6744,1
0,61.0,2,16,Cola,4293,1
0,52.0,3,22,Beerbeer,532,0
0,51.0,4,56,Beerbeer,1318,1
0,28.0,1,55,Strong beer,7869,1
0,0.0,3,29,Fanta,7560,1
1,4.0,3,48,Water,9805,1
0,100.0,2,62,Beerbeer,9552,0
0,91.0,0,69,Bugbeer,918,1
0,71.0,4,59,Bugbeer,4244,0
1,1.0,5,62,Bugbeer,2518,1
0,47.0,2,15,Cola,4729,0
0,76.0,2,22,Water,6943,0
1,100.0,2,61,Strong beer,2788,1
1,55.0,4,52,Fanta,9115,1
1,87.0,1,55,Fanta,301,1
1,49.0,0,74,Bugbeer,7654,0
1,85.0,2,18,Fanta,8036,0
0,63.0,3,22,Strong beer,4175,1
1,63.0,2,59,Strong beer,2853,1
0,49.0,1,71,Bugbeer,4775,0
1,35.0,2,53,Water,2695,1
1,60.0,2,72,Cola,9791,1
1,9.0,0,33,Beerbeer,6914,0
1,79.0,0,31,Fanta,310,1
0,77.0,2,27,Fanta,7180,0
0,28.0,5,38,Strong beer,4157,1
0,52.0,2,47,Strong beer,1272,0
1,7.0,5,55,Bugbeer,4545,1
0,24.0,2,52,Bugbeer,7638,0
1,22.0,2,56,Water,4600,0
0,50.0,0,34,Beerbeer,9211,0
0,23.0,1,25,Fanta,1071,1
0,21.0,5,15,Water,4928,1
0,38.0,3,19,Cola,7057,1
1,14.0,3,11,Cola,991,1
1,51.0,0,70,Strong beer,4071,1
1,9.0,2,31,Cola,6614,0
0,90.0,3,67,Fanta,3611,0
0,64.0,2,57,Fanta,8942,1
0,45.0,1,47,Strong beer,9592,0
1,59.0,3,55,Fanta,7788,0
0,46.0,1,60,Fanta,3215,1
0,15.0,0,80,Strong beer,1467,0
0,95.0,0,65,Beerbeer,3629,0
0,100.0,2,58,Cola,8820,0
0,69.0,5,71,Cola,1425,0
1,36.0,1,62,Water,1311,0
1,13.0,0,80,Bugbeer,9016,0
1,82.0,0,37,Fanta,6378,0
1,8.0,0,59,Beerbeer,4435,0
0,68.0,2,71,Strong beer,9204,1
0,0.0,4,51,Fanta,490,1
0,1.0,5,57,Beerbeer,1403,1
0,35.0,1,71,Cola,512,1
1,62.0,3,25,Fanta,1569,1
0,36.0,0,58,Fanta,3166,1
0,8.0,2,29,Strong beer,953,1
0,44.0,2,28,Cola,8681,1
1,93.0,2,50,Bugbeer,5288,1
1,98.0,0,32,Strong beer,6622,0
0,51.0,4,43,Water,3697,1
0,67.0,1,15,Fanta,1541,1
0,69.0,0,79,Bugbeer,3537,1
0,40.0,5,18,Fanta,250,1
0,89.0,3,48,Strong beer,5464,1
0,94.0,2,73,Strong beer,5650,1
0,6.0,3,79,Strong beer,5501,0
1,48.0,0,57,Bugbeer,2536,1
1,37.0,2,63,Cola,6900,1
0,75.0,2,42,Fanta,8766,0
1,29.0,2,21,Cola,1015,1
0,56.0,5,70,Strong beer,8039,0
1,60.0,2,59,Beerbeer,1057,0
1,4.0,2,38,Beerbeer,5863,1
1,74.0,1,34,Strong beer,4413,0
1,74.0,4,40,Water,6106,0
1,29.0,4,63,Water,6973,1
1,46.0,1,75,Beerbeer,2422,1
1,39.0,1,17,Cola,4668,1
0,28.0,4,38,Beerbeer,4917,1
0,47.0,1,45,Water,9002,1
0,71.0,0,31,Bugbeer,6492,0
1,40.0,0,46,Water,226,1
0,65.0,4,49,Bugbeer,5979,1
1,49.0,1,22,Bugbeer,9284,1
1,52.0,3,60,Bugbeer,5858,0
0,20.0,5,16,Cola,935,1
0,0.0,3,42,Water,5476,0
1,4.0,1,44,Beerbeer,166,1
0,29.0,4,55,Bugbeer,770,0
0,20.0,5,30,Strong beer,8089,1
1,33.0,2,37,Strong beer,7602,0
1,9.0,3,54,Bugbeer,8079,0
1,67.0,5,27,Fanta,1800,1
0,60.0,0,63,Strong beer,7366,1
0,28.0,5,19,Cola,7746,0
0,100.0,4,68,Fanta,7808,0
1,78.0,2,59,Bugbeer,3643,1
0,1.0,4,36,Strong beer,5313,1
0,18.0,1,12,Cola,6196,1
0,8.0,0,66,Fanta,3456,1
1,100.0,2,15,Cola,4727,1
1,14.0,0,39,Bugbeer,5364,1
0,39.0,2,49,Beerbeer,5438,1
0,95.0,0,48,Water,9457,0
0,98.0,3,54,Fanta,1705,0
1,36.0,4,59,Beerbeer,2940,0
1,95.0,0,28,Cola,6745,0
1,58.0,5,49,Beerbeer,1811,1
1,21.0,5,76,Bugbeer,1364,1
1,100.0,3,67,Strong beer,6911,0
0,75.0,2,37,Bugbeer,819,1
0,48.0,5,56,Cola,7390,0
1,40.0,3,38,Fanta,9969,1
0,100.0,0,68,Cola,1726,1
1,56.0,1,21,Bugbeer,2044,0
1,97.0,3,19,Fanta,579,1
1,50.0,1,77,Strong beer,2532,0
1,22.0,4,35,Water,4153,1
1,28.0,0,70,Beerbeer,9503,0
0,93.0,5,37,Water,5937,1
1,52.0,3,38,Strong beer,6204,1
0,24.0,1,26,Strong beer,8067,0
1,98.0,0,67,Water,2124,0
0,99.0,2,40,Fanta,1865,1
1,41.0,0,20,Water,156,1
1,57.0,4,53,Fanta,5107,1
1,71.0,5,33,Strong beer,5705,1
1,75.0,2,27,Strong beer,8811,0
1,47.0,1,36,Beerbeer,3068,0
1,100.0,2,35,Bugbeer,1528,0
1,42.0,3,63,Fanta,728,1
1,3.0,3,35,Bugbeer,305,1
1,25.0,2,27,Fanta,9840,0
0,68.0,4,79,Strong beer,838,1
0,71.0,2,67,Bugbeer,967,0
0,4.0,2,72,Strong beer,6781,0
1,90.0,0,64,Beerbeer,4189,1
0,3.0,3,47,Water,6126,1
1,100.0,4,49,Water,1698,1
0,82.0,5,47,Strong beer,2398,1
0,91.0,0,28,Water,2689,0
0,40.0,0,39,Water,6033,1
1,1.0,3,15,Water,7785,1
1,56.0,3,56,Water,7677,0
0,98.0,1,80,Water,8110,0
1,94.0,5,10,Cola,9863,1
0,26.0,5,11,Fanta,9781,1
1,28.0,2,67,Cola,3367,0
0,100.0,1,18,Water,1138,0
0,45.0,4,26,Beerbeer,4078,1
0,99.0,5,40,Beerbeer,8278,1
1,95.0,1,29,Strong beer,9566,1
1,100.0,3,15,Water,319,0
0,0.0,5,45,Strong beer,5592,1
0,2.0,1,28,Fanta,352,0
1,22.0,2,15,Fanta,5319,1
1,60.0,2,47,Beerbeer,335,0
1,9.0,5,46,Water,5133,0
0,25.0,1,30,Bugbeer,8603,1
0,1.0,0,69,Bugbeer,4692,1
1,68.0,5,21,Cola,4480,1
1,22.0,2,72,Beerbeer,147,1
0,28.0,4,47,Bugbeer,5178,1
1,58.0,4,42,Fanta,112,1
0,33.0,4,46,Fanta,5632,1
0,53.0,3,63,Bugbeer,7241,0
1,9.0,0,33,Fanta,6069,1
0,72.0,2,64,Fanta,1442,0
0,49.0,5,20,Fanta,2449,1
1,36.0,2,10,Fanta,4611,1
0,63.0,1,57,Beerbeer,9928,1
1,100.0,3,20,Fanta,9607,1
0,75.0,0,11,Cola,1808,1
0,44.0,4,66,Fanta,8464,0
1,75.0,0,41,Strong beer,2204,1
1,1.0,1,53,Fanta,1308,1
1,100.0,1,30,Bugbeer,501,0
1,16.0,4,15,Cola,8940,0
0,93.0,3,40,Strong beer,1282,1
1,28.0,4,44,Strong beer,5688,1
1,60.0,2,40,Bugbeer,7157,0
1,3.0,0,31,Water,520,1
1,9.0,5,19,Water,5304,1
1,100.0,2,29,Cola,1370,1
1,4.0,1,44,Water,3995,1
1,9.0,2,67,Strong beer,6530,0
1,55.0,0,30,Fanta,4599,1
1,77.0,1,56,Bugbeer,3452,1
0,79.0,2,21,Cola,4911,1
1,45.0,2,45,Water,7037,0
0,27.0,1,80,Bugbeer,2316,1
0,91.0,1,35,Fanta,4111,1
0,49.0,1,18,Water,6050,1
1,83.0,4,13,Fanta,8996,0
0,32.0,2,71,Bugbeer,5614,0
1,29.0,4,32,Bugbeer,923,1
0,54.0,5,57,Bugbeer,5424,1
0,2.0,3,32,Cola,2258,1
1,96.0,2,37,Bugbeer,364,1
1,17.0,5,33,Fanta,7908,1
0,65.0,4,57,Cola,6544,0
1,1.0,2,16,Water,3357,0
0,76.0,1,32,Cola,5900,1
0,61.0,2,26,Strong beer,9337,1
1,6.0,2,21,Beerbeer,4807,1
0,19.0,2,67,Bugbeer,9854,0
0,45.0,0,41,Strong beer,508,1
0,100.0,3,19,Cola,5534,1
0,72.0,4,69,Beerbeer,3234,1
0,100.0,3,50,Cola,1234,0
0,80.0,5,16,Cola,4267,1
0,94.0,2,46,Water,4653,1
0,72.0,1,71,Bugbeer,8191,0
1,30.0,0,51,Water,5656,0
1,86.0,2,56,Bugbeer,9320,0
0,99.0,1,50,Fanta,8327,0
0,99.0,2,46,Bugbeer,2377,1
0,18.0,1,24,Cola,7762,1
1,41.0,2,32,Beerbeer,3672,0
1,0.0,4,44,Strong beer,1943,1
0,88.0,3,63,Water,5929,1
1,62.0,1,34,Beerbeer,6056,1
0,94.0,5,48,Fanta,3520,1
0,29.0,1,51,Beerbeer,2741,1
0,31.0,2,80,Bugbeer,9319,1
0,42.0,3,23,Strong beer,1110,1
0,53.0,2,36,Strong beer,3020,1
1,11.0,2,63,Bugbeer,6463,0
0,71.0,5,23,Cola,713,1
1,33.0,2,61,Water,3344,1
1,62.0,3,46,Cola,1933,1
1,100.0,5,40,Strong beer,5330,1
1,73.0,4,72,Water,5195,1
1,2.0,1,15,Water,8706,1
0,84.0,0,62,Beerbeer,8667,1
1,83.0,2,45,Beerbeer,901,0
0,73.0,1,50,Bugbeer,4912,1
0,81.0,0,39,Fanta,7399,1
0,100.0,2,77,Strong beer,3037,1
1,58.0,4,30,Bugbeer,4177,1
0,67.0,0,58,Beerbeer,9386,0
0,71.0,3,43,Bugbeer,5511,0
0,0.0,1,17,Cola,6905,0
1,6.0,5,80,Fanta,3322,1
0,83.0,1,29,Water,9919,0
0,58.0,5,36,Fanta,485,1
1,63.0,0,22,Beerbeer,8279,1
1,48.0,2,71,Bugbeer,8159,1
0,71.0,1,65,Bugbeer,6791,0
1,40.0,3,41,Strong beer,6688,1
0,36.0,1,34,Fanta,2260,0
1,74.0,1,11,Fanta,5615,0
1,24.0,2,60,Beerbeer,9326,0
1,24.0,0,60,Bugbeer,3529,1
1,31.0,2,72,Water,3946,1
1,48.0,0,73,Water,5332,0
0,77.0,3,71,Beerbeer,3700,1
0,26.0,2,67,Beerbeer,5238,1
1,5.0,2,34,Water,172,1
1,0.0,5,37,Water,5527,0
1,35.0,4,64,Water,3761,1
1,57.0,5,19,Fanta,5961,1
1,100.0,2,63,Fanta,5244,1
1,65.0,0,47,Beerbeer,3578,1
1,47.0,5,20,Fanta,1767,0
0,79.0,2,11,Fanta,1490,1
1,50.0,1,43,Bugbeer,5947,1
1,7.0,0,34,Water,3184,1
1,12.0,1,24,Bugbeer,3779,1
0,84.0,3,56,Fanta,3306,1
1,2.0,2,29,Fanta,798,0
1,95.0,0,52,Water,1623,1
1,50.0,1,39,Beerbeer,4226,1
1,50.0,3,72,Cola,6359,0
1,6.0,5,23,Beerbeer,9794,1
0,60.0,4,68,Cola,6150,1
1,55.0,2,41,Water,7832,1
1,37.0,1,31,Bugbeer,1094,0
0,1.0,0,63,Strong beer,284,1
1,26.0,1,18,Fanta,3851,1
1,73.0,0,45,Bugbeer,308,0
0,7.0,1,68,Bugbeer,7528,1
1,28.0,2,77,Cola,1824,1
0,6.0,4,67,Bugbeer,755,0
0,55.0,1,19,Water,9346,0
1,30.0,5,77,Beerbeer,2103,0
0,64.0,3,37,Bugbeer,3081,1
0,45.0,1,56,Fanta,7992,0
0,89.0,3,10,Fanta,230,1
0,82.0,1,10,Water,3475,1
1,25.0,3,32,Strong beer,217,0
1,61.0,2,59,Beerbeer,9188,0
0,18.0,2,56,Bugbeer,7923,1
1,45.0,2,44,Bugbeer,1125,1
1,44.0,1,10,Water,5287,1
1,39.0,2,74,Bugbeer,5938,0
1,52.0,3,53,Strong beer,5209,1
1,55.0,3,43,Strong beer,5789,1
1,26.0,2,49,Cola,2729,0
0,95.0,2,72,Beerbeer,8748,0
0,11.0,2,65,Water,43,1
1,85.0,4,17,Cola,5930,1
0,33.0,2,48,Bugbeer,8980,0
0,12.0,4,54,Strong beer,6195,1
0,30.0,3,48,Cola,442,1
0,99.0,1,62,Beerbeer,4509,0
1,41.0,2,28,Bugbeer,6368,1
1,57.0,2,54,Strong beer,2874,0
1,65.0,0,62,Fanta,3634,0
1,33.0,4,48,Bugbeer,5892,1
1,63.0,0,55,Strong beer,6057,1
1,36.0,2,22,Bugbeer,3406,0
0,78.0,2,60,Cola,3870,0
1,29.0,1,51,Bugbeer,7727,0
1,13.0,3,29,Cola,4826,0
0,14.0,1,45,Cola,7406,0
1,86.0,0,71,Bugbeer,2765,0
0,26.0,5,47,Beerbeer,2134,1
1,23.0,5,24,Fanta,6308,1
1,69.0,2,22,Fanta,5088,1
0,43.0,0,64,Beerbeer,8544,1
0,55.0,3,64,Bugbeer,9517,1
1,88.0,0,78,Fanta,758,0
1,9.0,0,69,Cola,715,1
0,54.0,1,69,Fanta,8358,1
1,59.0,1,34,Fanta,1915,1
1,42.0,2,62,Water,5521,1
0,89.0,1,14,Water,3695,1
0,68.0,1,11,Cola,6038,0
0,73.0,1,19,Fanta,8322,0
1,76.0,1,72,Fanta,8286,1
0,65.0,5,40,Beerbeer,6328,1
0,85.0,4,45,Fanta,1617,0
0,31.0,2,39,Bugbeer,8272,0
0,26.0,2,47,Water,597,1
0,10.0,1,36,Fanta,2331,0
1,44.0,4,12,Fanta,8708,0
1,100.0,0,13,Cola,8452,0
0,14.0,2,35,Water,3503,1
0,100.0,4,56,Bugbeer,6920,1
0,96.0,0,59,Beerbeer,2825,1
0,75.0,2,60,Strong beer,5642,1
1,82.0,4,12,Fanta,5550,1
1,100.0,0,78,Water,7271,0
1,98.0,5,40,Cola,7603,1
1,65.0,4,35,Beerbeer,5626,1
0,72.0,4,47,Strong beer,6327,1
0,79.0,2,51,Water,7482,0
0,91.0,5,71,Bugbeer,5745,1
1,30.0,2,80,Bugbeer,5676,1
0,25.0,0,40,Water,3264,1
1,100.0,0,37,Water,7018,0
1,20.0,1,13,Cola,9265,1
0,12.0,4,35,Cola,2197,1
0,18.0,0,15,Water,3302,0
1,67.0,1,24,Bugbeer,2509,1
0,69.0,5,23,Bugbeer,4913,1
0,35.0,5,35,Beerbeer,4991,1
0,100.0,4,60,Strong beer,9595,1
1,40.0,2,10,Fanta,828,1
0,43.0,0,52,Strong beer,9448,0
0,46.0,3,63,Beerbeer,1842,1
1,92.0,2,22,Beerbeer,4241,1
0,92.0,4,74,Strong beer,1368,0
0,23.0,1,49,Beerbeer,5335,0
1,74.0,3,61,Bugbeer,7774,0
1,71.0,5,52,Bugbeer,3909,1
1,51.0,4,68,Bugbeer,1478,0
0,40.0,0,21,Cola,6577,1
0,68.0,1,32,Bugbeer,3976,0
1,23.0,0,63,Fanta,1668,0
0,96.0,3,19,Water,2849,0
1,26.0,0,35,Bugbeer,6856,1
1,73.0,2,10,Cola,8096,0
0,2.0,3,32,Bugbeer,9826,0
0,66.0,3,10,Water,7437,1
1,53.0,3,31,Cola,9086,0
1,23.0,0,58,Water,7169,1
0,26.0,2,53,Bugbeer,3,0
0,68.0,2,72,Water,4999,0
0,85.0,2,71,Cola,6052,1
0,56.0,1,28,Bugbeer,5672,1
0,85.0,0,10,Fanta,588,1
1,28.0,2,47,Fanta,2656,0
1,92.0,2,69,Bugbeer,9482,0
0,73.0,5,35,Fanta,6455,1
1,35.0,5,56,Fanta,8016,1
0,32.0,3,14,Fanta,8637,1
0,97.0,5,79,Water,9666,0
1,9.0,1,40,Water,7986,0
1,73.0,3,54,Fanta,6539,0
1,47.0,2,59,Fanta,4132,0
0,14.0,0,32,Fanta,8306,0
1,66.0,5,58,Cola,565,0
1,57.0,5,78,Water,8317,1
0,63.0,0,13,Fanta,9494,0
0,89.0,0,49,Fanta,3512,1
0,40.0,2,22,Bugbeer,8363,1
1,82.0,0,48,Cola,9585,1
1,19.0,1,53,Water,9875,1
1,65.0,2,40,Fanta,2226,0
0,62.0,4,22,Cola,6827,1
0,89.0,2,68,Strong beer,9555,0
0,12.0,2,50,Bugbeer,6854,0
0,67.0,3,68,Strong beer,8873,1
1,70.0,5,22,Strong beer,7060,1
0,36.0,3,71,Water,9004,1
0,32.0,2,74,Beerbeer,3675,1
1,95.0,4,46,Fanta,6680,1
1,83.0,5,71,Beerbeer,8382,1
0,100.0,0,43,Strong beer,4754,1
0,33.0,1,64,Strong beer,983,1
1,79.0,0,63,Water,7649,1
1,17.0,1,72,Beerbeer,8034,0
0,72.0,0,19,Cola,687,0
0,47.0,2,63,Fanta,2975,0
1,16.0,0,55,Bugbeer,6005,1
0,19.0,3,60,Bugbeer,3042,0
1,28.0,4,44,Beerbeer,8414,1
1,1.0,1,12,Cola,7611,1
1,43.0,1,60,Water,3218,1
0,45.0,4,42,Cola,8945,1
1,79.0,1,10,Water,6427,0
1,77.0,4,55,Cola,6497,0
1,51.0,5,16,Cola,6113,1
0,22.0,5,58,Beerbeer,9639,1
1,87.0,1,71,Fanta,7517,0
0,55.0,4,52,Strong beer,7235,0
0,26.0,5,29,Water,8947,1
0,82.0,0,23,Water,8475,1
0,20.0,4,55,Fanta,1050,1
1,19.0,5,46,Strong beer,7706,1
1,77.0,0,22,Beerbeer,7088,1
1,90.0,5,52,Strong beer,540,0
1,45.0,4,32,Water,3969,0
0,30.0,0,77,Cola,4987,1
1,8.0,2,64,Strong beer,593,1
0,60.0,0,10,Water,3869,0
1,26.0,2,57,Cola,2936,0
0,43.0,5,59,Cola,7445,0
0,96.0,1,13,Fanta,4068,0
1,41.0,5,20,Cola,326,0
0,87.0,5,22,Bugbeer,2090,1
1,64.0,5,40,Bugbeer,3902,1
1,100.0,2,32,Fanta,4295,0
0,4.0,4,52,Cola,3673,0
1,21.0,0,44,Water,4665,0
1,7.0,2,65,Fanta,2442,0
1,41.0,4,30,Strong beer,2684,1
1,76.0,5,24,Strong beer,790,1
1,100.0,0,62,Water,7884,1
1,100.0,4,16,Water,7016,0
0,64.0,3,37,Beerbeer,4301,1
1,28.0,2,46,Beerbeer,762,0
1,6.0,2,72,Beerbeer,6684,0
1,72.0,1,19,Fanta,3473,1
1,100.0,1,18,Fanta,9567,1
0,39.0,0,16,Fanta,5322,0
0,30.0,2,45,Beerbeer,1802,1
1,28.0,1,12,Cola,8148,0
1,68.0,2,32,Fanta,3461,1
1,99.0,2,18,Cola,262,1
0,100.0,4,50,Beerbeer,9657,0
1,56.0,4,33,Fanta,8362,1
1,3.0,0,57,Bugbeer,9755,1
0,34.0,2,78,Strong beer,3378,0
1,65.0,5,77,Fanta,9332,1
0,55.0,0,69,Fanta,6434,0
1,59.0,3,80,Fanta,8580,1
1,69.0,3,67,Water,9758,0
0,50.0,2,54,Cola,707,1
0,39.0,1,19,Fanta,6651,1
1,31.0,5,41,Beerbeer,5934,1
1,41.0,4,74,Bugbeer,8275,0
1,92.0,5,12,Cola,6580,1
1,14.0,5,21,Fanta,2469,1
1,65.0,1,20,Fanta,2359,1
0,83.0,5,37,Beerbeer,792,1
1,19.0,4,78,Cola,6395,1
0,63.0,4,48,Cola,5214,0
0,80.0,5,70,Fanta,4062,1
1,100.0,0,45,Water,5413,1
1,47.0,3,19,Fanta,6513,1
0,83.0,1,29,Cola,5066,1
0,97.0,1,11,Cola,813,1
1,52.0,2,33,Cola,6898,1
0,100.0,4,75,Cola,14,1
0,6.0,2,32,Bugbeer,808,1
0,10.0,1,77,Water,5985,0
1,74.0,0,27,Beerbeer,5145,0
0,63.0,1,18,Water,6874,0
1,92.0,3,73,Cola,3235,1
1,61.0,2,64,Water,5791,1
0,78.0,0,28,Water,2958,1
0,38.0,0,57,Water,1854,1
0,43.0,3,73,Fanta,6319,1
1,60.0,3,62,Strong beer,4731,1
1,79.0,3,48,Cola,260,1
0,97.0,0,41,Strong beer,1222,0
1,100.0,0,34,Strong beer,7333,0
1,67.0,3,59,Bugbeer,6138,0
1,53.0,5,14,Cola,7070,1
1,81.0,2,34,Fanta,7508,1
1,88.0,2,42,Strong beer,5006,0
1,4.0,4,25,Cola,8743,1
0,51.0,4,79,Cola,3035,1
0,77.0,4,23,Fanta,7973,1
1,12.0,2,58,Beerbeer,9910,1
0,44.0,5,32,Beerbeer,2210,1
0,71.0,3,59,Beerbeer,6323,1
1,70.0,0,71,Fanta,2524,1
0,72.0,3,27,Water,8874,0
0,91.0,4,10,Cola,722,1
1,100.0,2,66,Water,8594,1
0,0.0,4,24,Fanta,3462,1
1,6.0,0,54,Fanta,7327,1
1,41.0,2,13,Water,4477,0
0,30.0,2,54,Cola,2517,0
1,80.0,4,72,Water,8344,0
1,42.0,0,79,Beerbeer,4158,0
1,23.0,5,34,Beerbeer,4315,1
1,69.0,1,15,Cola,8840,1
1,88.0,0,49,Beerbeer,1248,0
0,21.0,1,44,Cola,4957,0
0,0.0,4,28,Water,6140,1
1,52.0,2,53,Beerbeer,8751,0
1,43.0,2,28,Beerbeer,1369,1
1,40.0,5,71,Strong beer,9255,1
1,47.0,2,46,Water,6212,1
1,7.0,4,62,Beerbeer,7889,1
0,36.0,1,39,Beerbeer,2102,1
1,42.0,0,34,Cola,1361,1
0,87.0,4,22,Fanta,5890,0
1,47.0,3,71,Water,59,1
1,40.0,4,54,Strong beer,6984,0
1,39.0,2,33,Fanta,5520,0
0,100.0,5,64,Water,4058,1
1,7.0,0,22,Cola,355,0
0,31.0,5,73,Beerbeer,4961,1
1,0.0,3,69,Strong beer,6223,1
1,92.0,4,23,Bugbeer,599,1
0,11.0,2,10,Water,737,0
0,82.0,2,44,Strong beer,361,0
0,51.0,2,48,Beerbeer,3930,0
1,99.0,0,65,Strong beer,9178,1
0,92.0,5,31,Cola,2569,1
0,63.0,5,23,Strong beer,2638,1
1,86.0,5,50,Bugbeer,4778,0
1,85.0,4,15,Cola,397,0
1,7.0,2,41,Bugbeer,8644,0
1,1.0,0,45,Beerbeer,9909,1
0,94.0,3,73,Fanta,3353,1
0,62.0,3,60,Strong beer,1977,1
1,19.0,4,46,Fanta,6963,0
0,73.0,0,73,Fanta,3633,0
1,7.0,5,51,Bugbeer,6524,0
1,1.0,0,42,Cola,3106,1
1,22.0,2,80,Beerbeer,8445,0
0,31.0,2,71,Fanta,3143,0
1,32.0,5,13,Water,4570,1
0,9.0,5,64,Bugbeer,9431,0
1,88.0,4,74,Strong beer,1023,1
0,32.0,3,78,Cola,1418,0
1,33.0,3,72,Water,4350,0
0,42.0,1,26,Water,4699,1
0,47.0,2,25,Bugbeer,1684,0
1,94.0,5,71,Bugbeer,4176,1
1,49.0,4,48,Water,7740,1
0,39.0,2,29,Bugbeer,8319,0
1,21.0,2,65,Water,1869,0
0,37.0,1,21,Fanta,5113,1
1,38.0,1,73,Bugbeer,8323,0
1,56.0,2,30,Bugbeer,8540,0
1,54.0,5,35,Cola,9711,1
0,22.0,1,24,Strong beer,8285,0
1,89.0,3,10,Fanta,5268,1
0,77.0,5,43,Bugbeer,8596,1
0,70.0,2,39,Cola,4405,1
0,28.0,3,60,Cola,6334,0
1,95.0,0,13,Fanta,2640,0
1,11.0,3,23,Strong beer,1589,0
1,82.0,3,68,Strong beer,9628,1
1,83.0,2,24,Water,9563,1
0,6.0,1,15,Fanta,184,0
1,21.0,2,14,Water,4604,1
0,100.0,1,75,Fanta,5440,0
1,57.0,5,32,Cola,8359,1
0,19.0,3,65,Fanta,825,1
0,50.0,2,13,Cola,5957,1
0,61.0,3,58,Water,8489,0
0,62.0,2,56,Cola,7462,0
0,4.0,5,41,Bugbeer,4199,1
0,18.0,4,37,Cola,9046,0
1,40.0,2,55,Beerbeer,6066,0
0,35.0,2,41,Cola,631,1
0,45.0,3,34,Strong beer,1922,1
1,18.0,3,13,Water,3841,1
0,53.0,5,73,Water,4687,0
0,61.0,0,25,Strong beer,8683,0
0,8.0,3,66,Fanta,8266,1
1,26.0,5,17,Cola,6313,1
1,54.0,4,38,Bugbeer,4622,1
0,60.0,4,67,Cola,8371,0
0,29.0,4,80,Bugbeer,5408,1
1,62.0,1,28,Fanta,6279,0
0,19.0,5,38,Strong beer,9328,1
1,6.0,4,20,Fanta,6324,0
1,63.0,5,39,Water,8741,1
1,74.0,1,53,Beerbeer,9965,1
0,74.0,3,47,Beerbeer,6965,1
0,72.0,3,59,Cola,22,0
1,23.0,2,79,Strong beer,8718,1
0,8.0,2,24,Beerbeer,4351,0
0,0.0,5,20,Water,2699,1
0,44.0,2,51,Bugbeer,7283,0
